timestamp,open,high,low,close,volume
2020-07-27 09:30:00,321.625,321.73,320.82,321.69,66313
2020-07-27 09:45:00,321.69,322.69,321.67,322.625,50286
2020-07-27 10:00:00,322.645,322.77,322.44,322.475,44422
2020-07-27 10:15:00,322.49,322.89,322.41,322.595,27673
2020-07-27 10:30:00,322.6,322.89,322.38,322.72,46156
2020-07-27 10:45:00,322.78,322.91,322.56,322.615,7676
2020-07-27 11:00:00,322.56,322.63,322.25,322.26,12617
2020-07-27 11:15:00,322.27,322.32,321.68,321.72,13899
2020-07-27 11:30:00,321.83,321.9,321.26,321.6,17409
2020-07-27 11:45:00,321.64,322.0,321.62,321.99,13687
2020-07-27 12:00:00,321.945,322.15,321.835,322.135,22967
2020-07-27 12:15:00,322.12,322.22,321.93,322.22,16875
2020-07-27 12:30:00,322.17,322.42,322.105,322.41,5979
2020-07-27 12:45:00,322.365,322.45,322.245,322.37,11716
2020-07-27 13:00:00,322.44,322.51,322.31,322.48,6526
2020-07-27 13:15:00,322.53,322.66,322.47,322.64,5922
2020-07-27 13:30:00,322.645,322.745,322.57,322.6,7990
2020-07-27 13:45:00,322.62,322.68,322.46,322.5,10095
2020-07-27 14:00:00,322.495,322.7,322.45,322.45,7689
2020-07-27 14:15:00,322.48,322.83,322.3,322.78,19643
2020-07-27 14:30:00,322.805,322.875,322.73,322.815,8508
2020-07-27 14:45:00,322.83,322.83,322.17,322.41,21941
2020-07-27 15:00:00,322.385,322.95,322.35,322.84,21670
2020-07-27 15:15:00,322.845,323.28,322.78,323.185,37206
2020-07-27 15:30:00,323.21,323.34,323.075,323.185,28315
2020-07-27 15:45:00,323.165,323.39,322.99,323.26,110156
2020-07-27 16:00:00,323.17,323.36,323.17,323.21,2000
2020-07-28 09:30:00,322.57,322.93,322.08,322.515,26548
2020-07-28 09:45:00,322.445,322.67,321.34,321.89,22734
2020-07-28 10:00:00,321.995,322.61,321.96,322.48,23443
2020-07-28 10:15:00,322.47,322.925,322.43,322.815,14721
2020-07-28 10:30:00,322.815,323.07,322.41,322.51,10976
2020-07-28 10:45:00,322.28,323.01,322.265,322.86,7946
2020-07-28 11:00:00,322.81,323.11,322.16,323.04,12225
2020-07-28 11:15:00,323.02,323.09,322.715,322.93,13014
2020-07-28 11:30:00,323.02,323.47,322.93,323.255,17613
2020-07-28 11:45:00,323.26,323.31,322.865,322.87,12178
2020-07-28 12:00:00,322.81,322.94,322.56,322.8,33472
2020-07-28 12:15:00,322.79,322.96,322.52,322.65,8095
2020-07-28 12:30:00,322.705,322.86,322.605,322.74,4590
2020-07-28 12:45:00,322.755,323.045,322.75,323.015,17759
2020-07-28 13:00:00,323.045,323.15,322.76,322.8,14806
2020-07-28 13:15:00,322.8,323.19,322.775,323.12,10522
2020-07-28 13:30:00,323.16,323.43,323.14,323.32,15875
2020-07-28 13:45:00,323.44,323.635,323.44,323.51,11856
2020-07-28 14:00:00,323.525,323.59,323.29,323.29,29647
2020-07-28 14:15:00,323.34,323.45,323.215,323.215,7010
2020-07-28 14:30:00,323.105,323.44,323.105,323.18,11598
2020-07-28 14:45:00,323.425,323.425,322.95,322.95,11086
2020-07-28 15:00:00,323.025,323.025,322.345,322.385,12280
2020-07-28 15:15:00,322.35,322.54,321.98,322.0,19712
2020-07-28 15:30:00,322.0,322.4,321.465,321.54,55502
2020-07-28 15:45:00,321.69,321.9,320.85,321.24,93183
2020-07-28 16:00:00,321.2,321.35,321.15,321.35,2196
2020-07-29 09:30:00,322.12,322.805,322.12,322.67,17474
2020-07-29 09:45:00,322.54,322.96,322.3,322.78,20183
2020-07-29 10:00:00,322.82,323.31,322.79,323.23,16468
2020-07-29 10:15:00,323.255,323.35,323.19,323.3,20211
2020-07-29 10:30:00,323.22,323.52,323.18,323.52,8506
2020-07-29 10:45:00,323.51,323.75,323.45,323.75,14656
2020-07-29 11:00:00,323.685,323.695,323.465,323.48,8591
2020-07-29 11:15:00,323.55,323.79,323.35,323.79,22508
2020-07-29 11:30:00,323.765,323.83,323.65,323.83,20431
2020-07-29 11:45:00,323.79,323.81,323.64,323.715,28758
2020-07-29 12:00:00,323.66,323.66,323.265,323.385,15987
2020-07-29 12:15:00,323.345,323.81,323.345,323.725,9948
2020-07-29 12:30:00,323.69,324.1,323.69,324.03,22622
2020-07-29 12:45:00,323.915,324.02,323.89,323.945,5539
2020-07-29 13:00:00,323.98,324.11,323.88,324.095,7319
2020-07-29 13:15:00,324.05,324.285,324.05,324.21,16950
2020-07-29 13:30:00,324.19,324.2,324.095,324.105,9518
2020-07-29 13:45:00,324.01,324.15,323.97,323.98,6626
2020-07-29 14:00:00,324.005,324.46,323.65,324.275,74200
2020-07-29 14:15:00,324.29,324.455,324.24,324.35,16353
2020-07-29 14:30:00,324.465,325.41,324.465,325.27,35383
2020-07-29 14:45:00,325.25,325.295,324.56,324.56,25265
2020-07-29 15:00:00,324.62,324.905,323.93,324.69,20425
2020-07-29 15:15:00,324.73,325.44,324.61,325.21,22017
2020-07-29 15:30:00,325.16,325.705,324.99,325.255,47185
2020-07-29 15:45:00,325.25,325.34,324.655,325.16,79625
2020-07-29 16:00:00,325.07,325.09,324.68,324.99,4005
2020-07-30 09:30:00,321.71,322.41,321.39,321.495,43131
2020-07-30 09:45:00,321.385,321.905,320.02,320.04,82075
2020-07-30 10:00:00,320.005,320.955,319.64,320.52,34031
2020-07-30 10:15:00,320.25,320.77,319.73,320.77,54454
2020-07-30 10:30:00,320.755,321.61,320.62,321.145,21274
2020-07-30 10:45:00,321.14,321.41,320.53,321.41,20614
2020-07-30 11:00:00,321.43,322.1,321.1,321.81,16089
2020-07-30 11:15:00,321.73,322.555,321.73,321.99,23523
2020-07-30 11:30:00,321.985,322.88,321.98,322.815,6020
2020-07-30 11:45:00,322.79,322.97,322.545,322.75,9974
2020-07-30 12:00:00,322.91,322.985,322.41,322.78,14341
2020-07-30 12:15:00,322.905,323.95,322.9,323.44,19597
2020-07-30 12:30:00,323.53,323.64,323.32,323.5,4141
2020-07-30 12:45:00,323.505,323.655,323.35,323.57,10372
2020-07-30 13:00:00,323.55,324.24,323.55,324.24,12664
2020-07-30 13:15:00,324.18,324.355,323.745,323.745,14203
2020-07-30 13:30:00,323.75,323.765,323.15,323.51,32019
2020-07-30 13:45:00,323.51,323.77,323.3,323.62,5938
2020-07-30 14:00:00,323.695,323.925,323.435,323.435,7075
2020-07-30 14:15:00,323.46,323.605,323.2,323.37,10836
2020-07-30 14:30:00,323.445,324.08,323.445,324.04,10677
2020-07-30 14:45:00,324.065,324.175,323.72,323.84,9444
2020-07-30 15:00:00,323.855,324.16,323.37,323.71,22955
2020-07-30 15:15:00,323.79,324.235,323.53,324.145,16765
2020-07-30 15:30:00,324.23,324.385,323.74,323.82,14586
2020-07-30 15:45:00,323.815,324.02,323.6,323.96,83226
2020-07-30 16:00:00,323.87,325.11,323.87,324.98,3122
2020-07-31 09:30:00,325.9,326.07,324.38,324.605,31316
2020-07-31 09:45:00,324.62,324.995,324.14,324.7,43396
2020-07-31 10:00:00,324.77,324.77,323.4,323.55,64468
2020-07-31 10:15:00,323.435,323.52,322.49,322.94,29941
2020-07-31 10:30:00,322.915,323.365,322.75,322.97,20288
2020-07-31 10:45:00,322.96,323.31,322.46,323.3,22937
