exit_time,sym,direction,entry_price,exit_price,dollar_pos,pnl
2024-01-31 09:30:00-05:00,ES,Long,476.5299987792969,487.29998779296875,346046.23992859456,7820.9435120569005
2024-02-05 11:30:00-05:00,ES,Long,491.3901062011719,492.7349853515625,318229.0692365293,870.9569746388236
2024-02-13 09:30:00-05:00,YM,Long,387.1000061035156,383.3900146484375,353042.16517034353,-3383.5789083247946
2024-02-14 09:30:00-05:00,ES,Long,492.7349853515625,497.7099914550781,343742.7939361929,3470.6739905061027
2024-02-14 13:30:00-05:00,ES,Long,497.7099914550781,496.69000244140625,299552.4499457453,-613.8920520158608
2024-02-15 10:30:00-05:00,ES,Long,496.69000244140625,499.4800109863281,322480.6532729684,1811.4392755664724
2024-02-22 09:30:00-05:00,ES,Long,499.4800109863281,505.3399963378906,353491.7899773497,4147.22644670875
2024-03-04 13:30:00-05:00,YM,Long,389.7001037597656,390.4599914550781,354943.3192336977,692.1144187976229
2024-03-05 09:30:00-05:00,YM,Long,390.4599914550781,388.6700134277344,558148.7360118638,-2558.7102272061225
2024-03-07 09:30:00-05:00,ES,Long,506.239990234375,514.1799926757812,354943.3192336977,5567.025275841259
2024-03-07 10:30:00-05:00,ES,Long,514.1799926757812,514.4249877929688,313341.2032938886,149.29998427430908
2024-03-11 09:30:00-04:00,ES,Long,514.4249877929688,508.9949951171875,337428.4641301136,-3561.712848917866
2024-03-11 12:30:00-04:00,ES,Long,508.9949951171875,511.239990234375,313435.43007851567,1382.4517270898225
2024-03-15 09:30:00-04:00,ES,Long,511.239990234375,510.4200134277344,352922.02915418125,-566.0509427799396
2024-03-15 09:30:00-04:00,YM,Long,388.6700134277344,387.92999267578125,370233.06118228874,-704.9171247294228
2024-03-15 11:30:00-04:00,ES,Long,510.4200134277344,509.1700134277344,267707.3488117441,-655.6055350718685
2024-03-15 11:30:00-04:00,YM,Long,387.92999267578125,386.9800109863281,315949.78964797483,-773.7130941638609
2024-03-15 12:30:00-04:00,NQ,Short,435.1300048828125,433.7950134277344,-208428.9566203911,639.4660744069091
