exit_time,sym,entry_price,exit_price,dollar_pos,pnl,hold_bars
2024-01-31 08:00:00,BTC,42722.39,42953.009,81994.93840744981,442.61546932621434,239
2024-01-31 08:00:00,LTC,68.06,69.4175,101775.36204502983,2029.9743458144014,239
2024-01-31 09:00:00,BCH,240.9885,234.452,67451.26757182182,-1829.5280085282604,240
2024-01-31 10:00:00,AVAX,34.63865,34.0515,28403.131365871217,-481.45347989807107,117
2024-01-31 17:00:00,BTC,42953.009,43727.0715,105687.03741961299,1904.6016637069404,248
2024-01-31 20:00:00,BTC,43727.0715,42532.265,84544.16996731969,-2310.100364577542,251
2024-01-31 20:00:00,SUSHI,1.095555,1.06595,41489.274273395895,-1121.1577372782651,251
2024-01-31 21:00:00,BTC,42532.265,42452.55,60367.96509727045,-113.14310060206535,252
2024-01-31 21:00:00,GRT,0.1617955,0.154185,36889.73784618851,-1735.2111145144233,252
2024-02-01,DOT,6.75995,6.6722,39597.92660630024,-514.0153491819965,255
2024-02-01 01:00:00,XRP,0.5149,0.4933,68015.87043470607,-2853.258499494371,256
2024-02-01 01:00:00,LTC,69.4175,65.78,61143.809767143044,-3203.9558904884643,256
2024-02-01 04:00:00,DOGE,0.0810725,0.0788042,65032.69302755943,-1819.5276770102453,259
2024-02-01 07:00:00,ETH,2299.5265,2269.9053025,78236.84698069391,-1007.8027351250014,262
2024-02-01 14:00:00,SHIB,8.57e-06,8.97e-06,63759.61178414321,2975.9445406834734,245
2024-02-01 22:00:00,ETH,2269.9053025,2295.866,98300.82774603086,1124.2574966910229,277
2024-02-02,SHIB,8.97e-06,9.05e-06,41850.19808661441,373.2459138159555,255
2024-02-02 08:00:00,BCH,234.452,237.105,87938.55624752784,995.0906357151597,287
2024-02-02 11:00:00,AVAX,34.0515,36.2305,47989.18807063051,3070.890880163987,166
2024-02-02 12:00:00,LTC,65.78,67.80525,81335.75149567115,2504.1841094041956,291
2024-02-03 02:00:00,BCH,237.105,240.495,107235.20533360046,1533.1913965580952,305
2024-02-03 02:00:00,YFI,7456.2495,7191.566,60967.37106409877,-2164.232454807795,305
2024-02-03 04:00:00,DOGE,0.0788042,0.07931565,85963.34703571325,557.9138401432315,307
2024-02-03 05:00:00,ETH,2295.866,2323.0515,76512.79634247406,905.9930435697606,308
2024-02-03 07:00:00,XRP,0.4933,0.5077,89235.49982219892,2604.8878926407187,310
2024-02-03 07:00:00,GRT,0.154185,0.15674,57866.777648073075,958.9105093934352,310
2024-02-03 10:00:00,XRP,0.5077,0.519,113846.8940964614,2533.9174774276366,313
2024-02-03 12:00:00,SHIB,9.05e-06,9.095e-06,62144.696843085345,309.0067798827477,291
2024-02-03 17:00:00,CRV,0.46307,0.49513,53682.75909842069,3716.650304911502,320
2024-02-03 18:00:00,XRP,0.519,0.5178,77338.30830109173,-178.8168978059893,321
2024-02-03 21:00:00,LTC,67.80525,68.848,103177.46445089894,1586.7252322817874,324
2024-02-03 21:00:00,BCH,240.495,237.5565,73198.73762897236,-894.3823801855989,324
2024-02-03 23:00:00,BCH,237.5565,240.788,96335.92591877672,1310.4652771299798,326
2024-02-04,ETH,2323.0515,2298.13436,98016.7324329514,-1051.3312530412659,327
2024-02-04 03:00:00,XRP,0.5178,0.5175,56912.544155791504,-32.973664053190205,330
2024-02-04 08:00:00,BCH,240.788,240.2045,68335.20495279598,-165.59625932337772,335
2024-02-04 16:00:00,XRP,0.5175,0.5103,77363.61373263062,-1076.3633214974673,343
