datetime,Open,High,Low,Close,Volume
2020-07-27 09:30:00,181.875,182.465,181.58,182.36,5902
2020-07-27 09:45:00,182.38,182.685,182.25,182.25,21136
2020-07-27 10:00:00,182.255,182.255,181.975,181.98,5084
2020-07-27 10:15:00,181.985,182.31,181.985,182.29,2161
2020-07-27 10:30:00,182.4,182.66,182.4,182.66,3214
2020-07-27 10:45:00,182.68,182.77,182.49,182.6,2726
2020-07-27 11:00:00,182.54,182.54,182.37,182.5,1681
2020-07-27 11:15:00,182.46,182.46,182.09,182.09,2689
2020-07-27 11:30:00,182.115,182.265,181.89,182.165,3038
2020-07-27 11:45:00,182.2,182.36,182.195,182.195,1609
2020-07-27 12:00:00,182.13,182.21,181.87,181.965,1628
2020-07-27 12:15:00,181.96,182.175,181.93,182.175,3071
2020-07-27 12:30:00,182.165,182.165,182.02,182.02,4686
2020-07-27 12:45:00,181.785,181.86,181.565,181.82,1891
2020-07-27 13:00:00,181.845,181.905,181.75,181.88,1425
2020-07-27 13:15:00,181.83,181.97,181.795,181.91,3736
2020-07-27 13:30:00,181.85,182.02,181.78,182.02,5853
2020-07-27 13:45:00,182.08,182.265,182.07,182.265,5120
2020-07-27 14:00:00,182.36,182.36,182.16,182.22,1408
2020-07-27 14:15:00,182.24,182.24,182.05,182.05,794
2020-07-27 14:30:00,182.065,182.065,181.955,182.0,2663
2020-07-27 14:45:00,181.995,182.01,181.73,181.875,3379
2020-07-27 15:00:00,181.92,182.1,181.91,182.015,1685
2020-07-27 15:15:00,181.86,181.97,181.81,181.965,1503
2020-07-27 15:30:00,181.96,182.035,181.93,181.935,5730
2020-07-27 15:45:00,181.935,182.23,181.925,182.23,33660
2020-07-28 09:30:00,181.93,182.145,181.45,182.015,12157
2020-07-28 09:45:00,182.005,182.155,181.765,181.86,19624
2020-07-28 10:00:00,181.8,182.52,181.8,182.51,5237
2020-07-28 10:15:00,182.52,182.9,182.48,182.81,3386
2020-07-28 10:30:00,182.895,183.07,182.605,183.07,7161
2020-07-28 10:45:00,183.12,183.5,183.11,183.5,950
2020-07-28 11:00:00,183.7,183.7,183.11,183.18,3342
2020-07-28 11:15:00,183.215,183.525,183.175,183.525,1473
2020-07-28 11:30:00,183.51,183.68,183.51,183.55,2400
2020-07-28 11:45:00,183.58,183.62,183.53,183.58,1600
2020-07-28 12:00:00,183.61,183.61,183.24,183.25,4370
2020-07-28 12:15:00,183.255,183.255,182.965,182.975,16235
2020-07-28 12:30:00,182.98,183.12,182.89,182.97,1010
2020-07-28 12:45:00,183.04,183.04,182.95,182.95,1363
2020-07-28 13:00:00,182.95,183.04,182.95,183.04,1850
2020-07-28 13:15:00,183.09,183.19,183.09,183.095,2033
2020-07-28 13:30:00,183.1,183.5,183.02,183.5,800
2020-07-28 13:45:00,183.52,183.645,183.485,183.615,11353
2020-07-28 14:00:00,183.615,183.63,183.24,183.24,1700
2020-07-28 14:15:00,183.45,183.46,183.42,183.42,1658
2020-07-28 14:30:00,183.55,183.68,183.55,183.68,800
2020-07-28 14:45:00,183.65,183.87,183.65,183.82,2792
2020-07-28 15:00:00,183.71,183.85,183.59,183.815,2715
2020-07-28 15:15:00,183.87,183.99,183.865,183.99,1599
2020-07-28 15:30:00,184.005,184.235,184.0,184.005,9349
2020-07-28 15:45:00,184.055,184.175,183.81,183.89,14163
2020-07-29 09:30:00,184.035,184.255,183.33,183.49,2157
2020-07-29 09:45:00,183.62,183.62,183.22,183.61,3610
2020-07-29 10:00:00,183.47,183.61,182.52,182.53,3822
2020-07-29 10:15:00,182.48,183.225,182.48,183.225,5994
2020-07-29 10:30:00,183.2,183.74,183.165,183.74,1304
2020-07-29 10:45:00,183.68,183.805,183.635,183.745,14833
2020-07-29 11:00:00,183.795,183.87,183.71,183.715,4511
2020-07-29 11:15:00,183.715,183.895,183.7,183.895,1206
2020-07-29 11:30:00,183.95,184.205,183.915,184.205,1600
2020-07-29 11:45:00,184.12,184.25,184.01,184.04,8935
2020-07-29 12:00:00,184.0,184.04,183.89,184.04,2296
2020-07-29 12:15:00,184.035,184.035,183.88,183.88,1596
